D1y,Hour,Minute,v1r1(t-4),v1r2(t-4),v1r3(t-4),v1r4(t-4),v1r5(t-4),v1r1(t-3),v1r2(t-3),v1r3(t-3),v1r4(t-3),v1r5(t-3),v1r1(t-2),v1r2(t-2),v1r3(t-2),v1r4(t-2),v1r5(t-2),v1r1(t-1),v1r2(t-1),v1r3(t-1),v1r4(t-1),v1r5(t-1),v1r1(t),v1r2(t),v1r3(t),v1r4(t),v1r5(t),target
4,23,45,67,66,57,68,65,69,67,58,68,67,67,67,58,67,65,66,66,60,65,65,66,66,59,68,66,2
5,0,0,69,67,58,68,67,67,67,58,67,65,66,66,60,65,65,66,66,59,68,66,68,68,56,67,69,1
5,0,15,67,67,58,67,65,66,66,60,65,65,66,66,59,68,66,68,68,56,67,69,68,68,45,64,64,2
5,0,30,66,66,60,65,65,66,66,59,68,66,68,68,56,67,69,68,68,45,64,64,67,67,35,64,67,1
5,0,45,66,66,59,68,66,68,68,56,67,69,68,68,45,64,64,67,67,35,64,67,68,67,57,64,64,1
5,1,0,68,68,56,67,69,68,68,45,64,64,67,67,35,64,67,68,67,57,64,64,68,66,54,66,67,1
5,1,15,68,68,45,64,64,67,67,35,64,67,68,67,57,64,64,68,66,54,66,67,69,67,58,67,67,2
5,1,30,67,67,35,64,67,68,67,57,64,64,68,66,54,66,67,69,67,58,67,67,69,66,51,66,66,2
5,1,45,68,67,57,64,64,68,66,54,66,67,69,67,58,67,67,69,66,51,66,66,70,69,55,65,64,2
5,2,0,68,66,54,66,67,69,67,58,67,67,69,66,51,66,66,70,69,55,65,64,70,66,59,64,64,3
5,2,15,69,67,58,67,67,69,66,51,66,66,70,69,55,65,64,70,66,59,64,64,68,64,61,66,54,1
5,2,30,69,66,51,66,66,70,69,55,65,64,70,66,59,64,64,68,64,61,66,54,70,66,34,63,37,1
5,2,45,70,69,55,65,64,70,66,59,64,64,68,64,61,66,54,70,66,34,63,37,70,65,56,66,104,1
5,3,0,70,66,59,64,64,68,64,61,66,54,70,66,34,63,37,70,65,56,66,104,67,67,58,68,81,1
5,3,15,68,64,61,66,54,70,66,34,63,37,70,65,56,66,104,67,67,58,68,81,69,66,42,67,67,1
5,3,30,70,66,34,63,37,70,65,56,66,104,67,67,58,68,81,69,66,42,67,67,71,67,36,65,66,1
5,3,45,70,65,56,66,104,67,67,58,68,81,69,66,42,67,67,71,67,36,65,66,65,62,27,63,68,2
5,4,0,67,67,58,68,81,69,66,42,67,67,71,67,36,65,66,65,62,27,63,68,68,67,37,63,70,1
5,4,15,69,66,42,67,67,71,67,36,65,66,65,62,27,63,68,68,67,37,63,70,71,65,23,61,61,3
5,4,30,71,67,36,65,66,65,62,27,63,68,68,67,37,63,70,71,65,23,61,61,73,68,0,68,65,2
5,4,45,65,62,27,63,68,68,67,37,63,70,71,65,23,61,61,73,68,0,68,65,63,63,0,65,14,1
5,5,0,68,67,37,63,70,71,65,23,61,61,73,68,0,68,65,63,63,0,65,14,68,65,0,62,64,1
5,5,15,71,65,23,61,61,73,68,0,68,65,63,63,0,65,14,68,65,0,62,64,74,69,57,70,68,2
5,5,30,73,68,0,68,65,63,63,0,65,14,68,65,0,62,64,74,69,57,70,68,77,72,60,66,66,1
5,5,45,63,63,0,65,14,68,65,0,62,64,74,69,57,70,68,77,72,60,66,66,75,73,14,66,64,2
5,6,0,68,65,0,62,64,74,69,57,70,68,77,72,60,66,66,75,73,14,66,64,72,71,22,66,65,1
5,6,15,74,69,57,70,68,77,72,60,66,66,75,73,14,66,64,72,71,22,66,65,81,78,45,65,61,1
5,6,30,77,72,60,66,66,75,73,14,66,64,72,71,22,66,65,81,78,45,65,61,68,70,64,66,65,1
5,6,45,75,73,14,66,64,72,71,22,66,65,81,78,45,65,61,68,70,64,66,65,75,73,66,69,72,1
5,7,0,72,71,22,66,65,81,78,45,65,61,68,70,64,66,65,75,73,66,69,72,70,68,54,64,65,2
5,7,15,81,78,45,65,61,68,70,64,66,65,75,73,66,69,72,70,68,54,64,65,69,68,54,66,67,1
5,7,30,68,70,64,66,65,75,73,66,69,72,70,68,54,64,65,69,68,54,66,67,71,69,59,65,64,2
5,7,45,75,73,66,69,72,70,68,54,64,65,69,68,54,66,67,71,69,59,65,64,70,67,59,66,66,2
5,8,0,70,68,54,64,65,69,68,54,66,67,71,69,59,65,64,70,67,59,66,66,70,66,58,65,63,2
5,8,15,69,68,54,66,67,71,69,59,65,64,70,67,59,66,66,70,66,58,65,63,72,67,52,64,62,2
5,8,30,71,69,59,65,64,70,67,59,66,66,70,66,58,65,63,72,67,52,64,62,70,66,44,64,63,1
5,8,45,70,67,59,66,66,70,66,58,65,63,72,67,52,64,62,70,66,44,64,63,69,66,58,65,64,2
5,9,0,70,66,58,65,63,72,67,52,64,62,70,66,44,64,63,69,66,58,65,64,69,67,55,65,65,1
5,9,15,72,67,52,64,62,70,66,44,64,63,69,66,58,65,64,69,67,55,65,65,68,64,56,64,64,2
5,9,30,70,66,44,64,63,69,66,58,65,64,69,67,55,65,65,68,64,56,64,64,68,68,63,64,65,2
5,9,45,69,66,58,65,64,69,67,55,65,65,68,64,56,64,64,68,68,63,64,65,68,65,62,63,62,2
5,10,0,69,67,55,65,65,68,64,56,64,64,68,68,63,64,65,68,65,62,63,62,67,66,58,62,64,2
5,10,15,68,64,56,64,64,68,68,63,64,65,68,65,62,63,62,67,66,58,62,64,69,65,52,64,62,2
5,10,30,68,68,63,64,65,68,65,62,63,62,67,66,58,62,64,69,65,52,64,62,67,65,63,65,64,2
5,10,45,68,65,62,63,62,67,66,58,62,64,69,65,52,64,62,67,65,63,65,64,67,62,61,65,63,2
5,11,0,67,66,58,62,64,69,65,52,64,62,67,65,63,65,64,67,62,61,65,63,67,63,53,63,60,2
5,11,15,69,65,52,64,62,67,65,63,65,64,67,62,61,65,63,67,63,53,63,60,68,65,54,63,61,2
5,11,30,67,65,63,65,64,67,62,61,65,63,67,63,53,63,60,68,65,54,63,61,67,64,56,64,62,2
5,11,45,67,62,61,65,63,67,63,53,63,60,68,65,54,63,61,67,64,56,64,62,66,65,57,64,62,2
5,12,0,67,63,53,63,60,68,65,54,63,61,67,64,56,64,62,66,65,57,64,62,67,64,55,61,58,2
5,12,15,68,65,54,63,61,67,64,56,64,62,66,65,57,64,62,67,64,55,61,58,66,63,57,63,59,2
5,12,30,67,64,56,64,62,66,65,57,64,62,67,64,55,61,58,66,63,57,63,59,65,64,56,64,60,2
5,12,45,66,65,57,64,62,67,64,55,61,58,66,63,57,63,59,65,64,56,64,60,66,64,56,64,62,2
5,13,0,67,64,55,61,58,66,63,57,63,59,65,64,56,64,60,66,64,56,64,62,66,64,54,59,60,2
5,13,15,66,63,57,63,59,65,64,56,64,60,66,64,56,64,62,66,64,54,59,60,66,65,52,61,60,2
5,13,30,65,64,56,64,60,66,64,56,64,62,66,64,54,59,60,66,65,52,61,60,67,65,56,60,61,2
5,13,45,66,64,56,64,62,66,64,54,59,60,66,65,52,61,60,67,65,56,60,61,65,64,58,61,62,2
5,14,0,66,64,54,59,60,66,65,52,61,60,67,65,56,60,61,65,64,58,61,62,65,63,56,59,59,2
5,14,15,66,65,52,61,60,67,65,56,60,61,65,64,58,61,62,65,63,56,59,59,66,63,57,60,58,2
5,14,30,67,65,56,60,61,65,64,58,61,62,65,63,56,59,59,66,63,57,60,58,67,65,59,56,60,2
5,14,45,65,64,58,61,62,65,63,56,59,59,66,63,57,60,58,67,65,59,56,60,64,63,57,62,60,2
5,15,0,65,63,56,59,59,66,63,57,60,58,67,65,59,56,60,64,63,57,62,60,67,65,59,61,60,1
5,15,15,66,63,57,60,58,67,65,59,56,60,64,63,57,62,60,67,65,59,61,60,67,66,60,63,62,2
5,15,30,67,65,59,56,60,64,63,57,62,60,67,65,59,61,60,67,66,60,63,62,68,66,59,64,65,1
5,15,45,64,63,57,62,60,67,65,59,61,60,67,66,60,63,62,68,66,59,64,65,70,66,59,64,63,1
5,16,0,67,65,59,61,60,67,66,60,63,62,68,66,59,64,65,70,66,59,64,63,69,65,55,63,65,1
5,16,15,67,66,60,63,62,68,66,59,64,65,70,66,59,64,63,69,65,55,63,65,69,66,56,65,69,2
5,16,30,68,66,59,64,65,70,66,59,64,63,69,65,55,63,65,69,66,56,65,69,70,66,60,65,66,2
5,16,45,70,66,59,64,63,69,65,55,63,65,69,66,56,65,69,70,66,60,65,66,69,66,59,62,64,2
5,17,0,69,65,55,63,65,69,66,56,65,69,70,66,60,65,66,69,66,59,62,64,69,67,57,64,62,2
5,17,15,69,66,56,65,69,70,66,60,65,66,69,66,59,62,64,69,67,57,64,62,70,64,59,63,62,2
5,17,30,70,66,60,65,66,69,66,59,62,64,69,67,57,64,62,70,64,59,63,62,67,65,58,63,62,2
5,17,45,69,66,59,62,64,69,67,57,64,62,70,64,59,63,62,67,65,58,63,62,67,67,56,63,64,1
5,18,0,69,67,57,64,62,70,64,59,63,62,67,65,58,63,62,67,67,56,63,64,69,65,56,64,64,1
5,18,15,70,64,59,63,62,67,65,58,63,62,67,67,56,63,64,69,65,56,64,64,69,64,55,65,65,2
5,18,30,67,65,58,63,62,67,67,56,63,64,69,65,56,64,64,69,64,55,65,65,68,65,57,64,66,2
5,18,45,67,67,56,63,64,69,65,56,64,64,69,64,55,65,65,68,65,57,64,66,67,63,55,63,64,2
5,19,0,69,65,56,64,64,69,64,55,65,65,68,65,57,64,66,67,63,55,63,64,67,65,57,62,62,2
5,19,15,69,64,55,65,65,68,65,57,64,66,67,63,55,63,64,67,65,57,62,62,67,63,57,62,62,2
5,19,30,68,65,57,64,66,67,63,55,63,64,67,65,57,62,62,67,63,57,62,62,67,62,52,63,62,2
5,19,45,67,63,55,63,64,67,65,57,62,62,67,63,57,62,62,67,62,52,63,62,67,63,55,63,60,2
5,20,0,67,65,57,62,62,67,63,57,62,62,67,62,52,63,62,67,63,55,63,60,66,65,53,64,62,2
5,20,15,67,63,57,62,62,67,62,52,63,62,67,63,55,63,60,66,65,53,64,62,68,64,54,64,63,2
5,20,30,67,62,52,63,62,67,63,55,63,60,66,65,53,64,62,68,64,54,64,63,67,61,49,64,62,2
5,20,45,67,63,55,63,60,66,65,53,64,62,68,64,54,64,63,67,61,49,64,62,68,65,57,61,64,2
5,21,0,66,65,53,64,62,68,64,54,64,63,67,61,49,64,62,68,65,57,61,64,66,64,55,60,61,2
5,21,15,68,64,54,64,63,67,61,49,64,62,68,65,57,61,64,66,64,55,60,61,66,62,53,64,63,1
5,21,30,67,61,49,64,62,68,65,57,61,64,66,64,55,60,61,66,62,53,64,63,66,61,55,65,62,2
5,21,45,68,65,57,61,64,66,64,55,60,61,66,62,53,64,63,66,61,55,65,62,67,63,64,63,65,1
5,22,0,66,64,55,60,61,66,62,53,64,63,66,61,55,65,62,67,63,64,63,65,67,65,61,64,63,1
5,22,15,66,62,53,64,63,66,61,55,65,62,67,63,64,63,65,67,65,61,64,63,67,65,60,64,65,1
5,22,30,66,61,55,65,62,67,63,64,63,65,67,65,61,64,63,67,65,60,64,65,66,66,61,63,65,2
5,22,45,67,63,64,63,65,67,65,61,64,63,67,65,60,64,65,66,66,61,63,65,67,64,62,63,65,2
5,23,0,67,65,61,64,63,67,65,60,64,65,66,66,61,63,65,67,64,62,63,65,70,66,59,63,64,2
5,23,15,67,65,60,64,65,66,66,61,63,65,67,64,62,63,65,70,66,59,63,64,70,66,59,64,63,2
5,23,30,66,66,61,63,65,67,64,62,63,65,70,66,59,63,64,70,66,59,64,63,71,66,59,67,62,2
5,23,45,67,64,62,63,65,70,66,59,63,64,70,66,59,64,63,71,66,59,67,62,69,64,57,61,62,1
6,0,0,70,66,59,63,64,70,66,59,64,63,71,66,59,67,62,69,64,57,61,62,71,64,54,65,64,2
6,0,15,70,66,59,64,63,71,66,59,67,62,69,64,57,61,62,71,64,54,65,64,72,67,58,66,65,2
6,0,30,71,66,59,67,62,69,64,57,61,62,71,64,54,65,64,72,67,58,66,65,70,68,54,65,64,2
6,0,45,69,64,57,61,62,71,64,54,65,64,72,67,58,66,65,70,68,54,65,64,70,65,56,63,62,1
6,1,0,71,64,54,65,64,72,67,58,66,65,70,68,54,65,64,70,65,56,63,62,70,67,58,60,62,1
6,1,15,72,67,58,66,65,70,68,54,65,64,70,65,56,63,62,70,67,58,60,62,72,69,61,66,66,1
6,1,30,70,68,54,65,64,70,65,56,63,62,70,67,58,60,62,72,69,61,66,66,72,70,61,66,67,2
6,1,45,70,65,56,63,62,70,67,58,60,62,72,69,61,66,66,72,70,61,66,67,66,66,52,66,65,1
6,2,0,70,67,58,60,62,72,69,61,66,66,72,70,61,66,67,66,66,52,66,65,70,67,62,66,64,2
6,2,15,72,69,61,66,66,72,70,61,66,67,66,66,52,66,65,70,67,62,66,64,68,70,60,64,65,1
6,2,30,72,70,61,66,67,66,66,52,66,65,70,67,62,66,64,68,70,60,64,65,71,69,67,64,63,1
6,2,45,66,66,52,66,65,70,67,62,66,64,68,70,60,64,65,71,69,67,64,63,70,74,63,70,68,1
6,3,0,70,67,62,66,64,68,70,60,64,65,71,69,67,64,63,70,74,63,70,68,69,65,59,63,68,1
6,3,15,68,70,60,64,65,71,69,67,64,63,70,74,63,70,68,69,65,59,63,68,69,67,59,67,66,1
6,3,30,71,69,67,64,63,70,74,63,70,68,69,65,59,63,68,69,67,59,67,66,68,62,50,69,68,1
6,3,45,70,74,63,70,68,69,65,59,63,68,69,67,59,67,66,68,62,50,69,68,70,72,67,65,70,1
6,4,0,69,65,59,63,68,69,67,59,67,66,68,62,50,69,68,70,72,67,65,70,64,61,55,63,65,1
