D1y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
6,3,45,63,63,64,62,59,57,58,57,51,48,2
6,4,0,63,64,62,59,57,58,57,51,48,37,2
6,4,15,64,62,59,57,58,57,51,48,37,47,2
6,4,30,62,59,57,58,57,51,48,37,47,47,1
6,4,45,59,57,58,57,51,48,37,47,47,50,2
6,5,0,57,58,57,51,48,37,47,47,50,54,2
6,5,15,58,57,51,48,37,47,47,50,54,63,2
6,5,30,57,51,48,37,47,47,50,54,63,48,1
6,5,45,51,48,37,47,47,50,54,63,48,56,1
6,6,0,48,37,47,47,50,54,63,48,56,58,1
6,6,15,37,47,47,50,54,63,48,56,58,63,2
6,6,30,47,47,50,54,63,48,56,58,63,65,1
6,6,45,47,50,54,63,48,56,58,63,65,63,1
6,7,0,50,54,63,48,56,58,63,65,63,55,2
6,7,15,54,63,48,56,58,63,65,63,55,64,2
6,7,30,63,48,56,58,63,65,63,55,64,64,1
6,7,45,48,56,58,63,65,63,55,64,64,57,1
6,8,0,56,58,63,65,63,55,64,64,57,57,1
6,8,15,58,63,65,63,55,64,64,57,57,66,1
6,8,30,63,65,63,55,64,64,57,57,66,69,2
6,8,45,65,63,55,64,64,57,57,66,69,60,1
6,9,0,63,55,64,64,57,57,66,69,60,66,1
6,9,15,55,64,64,57,57,66,69,60,66,59,2
6,9,30,64,64,57,57,66,69,60,66,59,60,1
6,9,45,64,57,57,66,69,60,66,59,60,61,1
6,10,0,57,57,66,69,60,66,59,60,61,59,1
6,10,15,57,66,69,60,66,59,60,61,59,62,1
6,10,30,66,69,60,66,59,60,61,59,62,60,2
6,10,45,69,60,66,59,60,61,59,62,60,60,2
6,11,0,60,66,59,60,61,59,62,60,60,60,2
6,11,15,66,59,60,61,59,62,60,60,60,58,1
6,11,30,59,60,61,59,62,60,60,60,58,59,1
6,11,45,60,61,59,62,60,60,60,58,59,59,2
6,12,0,61,59,62,60,60,60,58,59,59,60,1
6,12,15,59,62,60,60,60,58,59,59,60,60,1
6,12,30,62,60,60,60,58,59,59,60,60,59,1
6,12,45,60,60,60,58,59,59,60,60,59,61,1
6,13,0,60,60,58,59,59,60,60,59,61,60,1
6,13,15,60,58,59,59,60,60,59,61,60,61,1
6,13,30,58,59,59,60,60,59,61,60,61,61,1
6,13,45,59,59,60,60,59,61,60,61,61,61,1
6,14,0,59,60,60,59,61,60,61,61,61,62,1
6,14,15,60,60,59,61,60,61,61,61,62,61,1
6,14,30,60,59,61,60,61,61,61,62,61,60,1
6,14,45,59,61,60,61,61,61,62,61,60,63,1
6,15,0,61,60,61,61,61,62,61,60,63,62,1
6,15,15,60,61,61,61,62,61,60,63,62,62,1
6,15,30,61,61,61,62,61,60,63,62,62,62,1
6,15,45,61,61,62,61,60,63,62,62,62,63,1
6,16,0,61,62,61,60,63,62,62,62,63,62,1
6,16,15,62,61,60,63,62,62,62,63,62,62,1
6,16,30,61,60,63,62,62,62,63,62,62,63,2
6,16,45,60,63,62,62,62,63,62,62,63,62,1
6,17,0,63,62,62,62,63,62,62,63,62,62,1
6,17,15,62,62,62,63,62,62,63,62,62,59,2
6,17,30,62,62,63,62,62,63,62,62,59,62,1
6,17,45,62,63,62,62,63,62,62,59,62,60,2
6,18,0,63,62,62,63,62,62,59,62,60,59,1
6,18,15,62,62,63,62,62,59,62,60,59,62,2
6,18,30,62,63,62,62,59,62,60,59,62,59,1
6,18,45,63,62,62,59,62,60,59,62,59,60,2
6,19,0,62,62,59,62,60,59,62,59,60,59,1
6,19,15,62,59,62,60,59,62,59,60,59,60,1
6,19,30,59,62,60,59,62,59,60,59,60,59,1
6,19,45,62,60,59,62,59,60,59,60,59,60,1
6,20,0,60,59,62,59,60,59,60,59,60,60,1
6,20,15,59,62,59,60,59,60,59,60,60,60,1
6,20,30,62,59,60,59,60,59,60,60,60,60,1
6,20,45,59,60,59,60,59,60,60,60,60,61,1
6,21,0,60,59,60,59,60,60,60,60,61,61,1
6,21,15,59,60,59,60,60,60,60,61,61,62,1
6,21,30,60,59,60,60,60,60,61,61,62,60,1
6,21,45,59,60,60,60,60,61,61,62,60,62,1
6,22,0,60,60,60,60,61,61,62,60,62,63,1
6,22,15,60,60,60,61,61,62,60,62,63,62,1
6,22,30,60,60,61,61,62,60,62,63,62,63,1
6,22,45,60,61,61,62,60,62,63,62,63,65,1
6,23,0,61,61,62,60,62,63,62,63,65,62,2
6,23,15,61,62,60,62,63,62,63,65,62,65,2
